registryId,chassisNumber,model,make,batteryType,batteryVendor,hub,state,registrationNumber,odometerKm,inductedOn
FBLSS0169,MD9ESLM1225874027,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,21182,2025-03-09
BLRSS0465,SESEAG03202300628,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,6280,2025-09-27
FBLSS0170,MD9ESLM1225874028,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,11008,2024-07-12
FBLSS0171,MD9ESLM1225874029,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,9829,2025-07-14
BLRSS0466,SESEAG03202300629,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,18668,2025-02-23
BLRSS0467,SESEAG03202300630,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,4559,2024-11-01
BLRSS0468,SESEAG03202300631,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,1745,2025-01-26
FBLSS0172,MD9ESLM1225874030,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,19635,2024-11-12
FBLSS0173,MD9ESLM1225874031,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,13696,2025-04-15
FBLSS0174,MD9ESLM1225874032,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,5924,2024-03-27
FBLSS0175,MD9ESLM1225874033,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,6720,2024-01-19
BLRSS0469,SESEAG03202300632,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,14570,2024-02-17
FBLSS0176,MD9ESLM1225874034,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,1061,2025-03-04
FBLSS0177,MD9ESLM1225874035,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,13885,2025-08-02
FBLSS0178,MD9ESLM1225874036,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,14031,2025-02-13
BLRSS0470,SESEAG03202300633,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,16499,2024-03-15
BLRSS0471,SESEAG03202300634,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,5238,2025-01-19
FBLSS0179,MD9ESLM1225874037,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,13695,2024-02-27
BLRSS0472,SESEAG03202300635,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,1977,2024-02-04
FBLSS0180,MD9ESLM1225874038,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,19808,2025-06-13
BLRSS0473,SESEAG03202300636,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,4724,2025-02-20
BLRSS0474,SESEAG03202300637,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,12109,2025-11-16
BLRSS0475,SESEAG03202300638,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,6335,2024-01-16
FBLSS0181,MD9ESLM1225874039,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,19498,2025-02-26
BLRSS0476,SESEAG03202300639,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,19807,2024-12-28
FBLSS0182,MD9ESLM1225874040,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,DEPLOYED,,7886,2025-01-25
BLRSS0477,SESEAG03202300640,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,15739,2025-07-14
FBLSS0183,MD9ESLM1225874041,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,15899,2024-11-22
FBLSS0184,MD9ESLM1225874042,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Bengaluru,DEPLOYED,,10685,2024-03-16
BLRSS0478,SESEAG03202300641,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,15040,2024-09-27
FBLSS0185,MD9ESLM1225874043,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,HSR Layout,DEPLOYED,,9832,2024-10-27
BLRSS0479,SESEAG03202300642,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,DEPLOYED,,3590,2025-08-20
FBLSS0186,MD9ESLM1225874044,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,DEPLOYED,,2052,2025-11-17
FBLSS0187,MD9ESLM1225874045,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,HSR Layout,DEPLOYED,,6224,2024-03-11
FBLSS0188,MD9ESLM1225874046,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,DEPLOYED,,14267,2025-03-22
BLRSS0480,SESEAG03202300643,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,READY_TO_DEPLOY,,8078,2025-12-19
BLRSS0481,SESEAG03202300644,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,14644,2025-12-03
BLRSS0482,SESEAG03202300645,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,17410,2024-05-16
FBLSS0189,MD9ESLM1225874047,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,964,2025-03-21
BLRSS0483,SESEAG03202300646,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,5092,2024-10-25
BLRSS0484,SESEAG03202300647,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,13139,2024-11-14
BLRSS0485,SESEAG03202300648,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,4351,2025-05-12
BLRSS0486,SESEAG03202300649,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,READY_TO_DEPLOY,,6862,2025-01-15
BLRSS0487,SESEAG03202300650,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,13619,2024-08-05
BLRSS0488,SESEAG03202300651,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,2503,2024-04-13
BLRSS0489,SESEAG03202300652,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,1602,2024-04-07
FBLSS0190,MD9ESLM1225874048,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,7197,2025-05-01
BLRSS0490,SESEAG03202300653,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,READY_TO_DEPLOY,,21011,2024-12-05
BLRSS0491,SESEAG03202300654,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,17855,2025-05-13
BLRSS0492,SESEAG03202300655,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,READY_TO_DEPLOY,,20270,2024-10-05
FBLSS0191,MD9ESLM1225874049,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,10836,2025-06-11
BLRSS0493,SESEAG03202300656,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,READY_TO_DEPLOY,,13092,2024-01-15
BLRSS0494,SESEAG03202300657,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,READY_TO_DEPLOY,,9697,2025-07-10
FBLSS0192,MD9ESLM1225874050,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Whitefield,READY_TO_DEPLOY,,5155,2025-07-11
BLRSS0495,SESEAG03202300658,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,HSR Layout,READY_TO_DEPLOY,,13299,2024-09-04
BLRSS0496,SESEAG03202300659,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,UNDER_REPAIR,,2609,2024-07-14
BLRSS0497,SESEAG03202300660,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,UNDER_REPAIR,,7562,2024-07-19
FBLSS0193,MD9ESLM1225874051,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,UNDER_REPAIR,,17127,2025-10-11
FBLSS0194,MD9ESLM1225874052,Sprinto-SunM,e-Sprinto,Sun Mobility,Sun Mobility,Koramangala,UNDER_REPAIR,,7728,2025-12-02
BLRSS0498,SESEAG03202300661,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,UNDER_REPAIR,,13048,2025-11-18
BLRSS0499,SESEAG03202300662,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,UNDER_REPAIR,,5347,2024-09-11
FBLSS0195,MD9ESLM1225874053,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Koramangala,UNDER_REPAIR,,9094,2024-01-11
BLRSS0500,SESEAG03202300663,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Koramangala,UNDER_REPAIR,,17804,2024-05-26
FBLSS0196,MD9ESLM1225874054,Sprinto-BS,e-Sprinto,Battery Smart,Battery Smart,Bengaluru,QC_PENDING,,17256,2024-03-09
BLRSS0501,SESEAG03202300664,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,QC_PENDING,,10028,2024-01-04
BLRSS0502,SESEAG03202300665,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,QC_PENDING,,18616,2024-09-15
FBLSS0197,MD9ESLM1225874055,Sprinto-SunM Pro,e-Sprinto,Sun Mobility,Sun Mobility,Whitefield,ACCIDENT,,20764,2025-02-22
FBLSS0198,MD9ESLM1225874056,Sprinto-SunM Plus,e-Sprinto,Sun Mobility,Sun Mobility,HSR Layout,RECOVERY,,9708,2025-09-18
BLRSS0503,SESEAG03202300666,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Bengaluru,RECOVERY,,9285,2024-02-19
BLRSS0504,SESEAG03202300667,Eagle-SunM,e-Connects,Sun Mobility,Sun Mobility,Whitefield,RECOVERY,,19383,2025-04-05
